Team 1,Team 2,Ground,Host_Country,Venue_Team1,Venue_Team2,Winner
Australia,West Indies,Melbourne,Australia,0,1,West Indies
Australia,Sri Lanka,Sydney,Australia,0,1,Australia
Sri Lanka,West Indies,Hobart,Australia,2,2,West Indies
New Zealand,Pakistan,Napier,New Zealand,0,1,New Zealand
Sri Lanka,West Indies,Brisbane,Australia,2,2,West Indies
Australia,West Indies,Brisbane,Australia,0,1,West Indies
New Zealand,Pakistan,Hamilton,New Zealand,0,1,New Zealand
Australia,West Indies,Sydney,Australia,0,1,West Indies
Sri Lanka,West Indies,Sydney,Australia,2,2,West Indies
Australia,Sri Lanka,Melbourne,Australia,0,1,Sri Lanka
Australia,West Indies,Melbourne,Australia,0,1,West Indies
India,England,Bengaluru,India,0,1,England
Australia,Sri Lanka,Sydney,Australia,0,1,Australia
India,England,Nagpur,India,0,1,India
Sri Lanka,West Indies,Adelaide,Australia,2,2,West Indies
Australia,West Indies,Adelaide,Australia,0,1,West Indies
India,England,Chandigarh,India,0,1,England
Australia,Sri Lanka,Adelaide,Australia,0,1,Australia
Sri Lanka,West Indies,Perth,Australia,2,2,West Indies
Australia,Sri Lanka,Perth,Australia,0,1,Australia
New Zealand,Pakistan,Christchurch,New Zealand,0,1,New Zealand
Australia,West Indies,Sydney,Australia,0,1,Australia
Australia,West Indies,Melbourne,Australia,0,1,West Indies
Australia,West Indies,Sydney,Australia,0,1,West Indies
Australia,England,Melbourne,Australia,0,1,Australia
India,Pakistan,Melbourne,Australia,2,2,India
New Zealand,Sri Lanka,Melbourne,Australia,2,2,New Zealand
Australia,Pakistan,Melbourne,Australia,0,1,Pakistan
England,India,Sydney,Australia,2,2,India
Sri Lanka,West Indies,Melbourne,Australia,2,2,West Indies
England,Pakistan,Melbourne,Australia,2,2,Pakistan
Australia,India,Melbourne,Australia,0,1,India
India,New Zealand,Sydney,Australia,2,2,India
Pakistan,West Indies,Melbourne,Australia,2,2,Pakistan
New Zealand,West Indies,Sydney,Australia,2,2,West Indies
India,Pakistan,Melbourne,Australia,2,2,India
West Indies,New Zealand,St John's,West Indies,0,1,West Indies
India,Pakistan,Sharjah,U.A.E.,2,2,India
Australia,England,Sharjah,U.A.E.,2,2,Australia
England,Pakistan,Sharjah,U.A.E.,2,2,Pakistan
West Indies,New Zealand,Port of Spain,West Indies,0,1,West Indies
Australia,India,Sharjah,U.A.E.,2,2,India
West Indies,New Zealand,Albion,West Indies,0,1,West Indies
West Indies,New Zealand,Port of Spain,West Indies,0,1,West Indies
West Indies,New Zealand,Bridgetown,West Indies,0,1,West Indies
England,Australia,Manchester,England,0,1,Australia
England,Australia,Birmingham,England,0,1,Australia
England,Australia,Lord's,England,0,1,England
Sri Lanka,India,Colombo,Sri Lanka,0,1,India
Sri Lanka,India,Colombo,Sri Lanka,0,1,Sri Lanka
Pakistan,Sri Lanka,Peshawar,Pakistan,0,1,Pakistan
Pakistan,Sri Lanka,Gujranwala,Pakistan,0,1,Pakistan
Pakistan,Sri Lanka,Lahore,Pakistan,0,1,Pakistan
Pakistan,Sri Lanka,Hyderabad,India,2,2,Pakistan
Pakistan,West Indies,Sharjah,U.A.E.,2,2,West Indies
India,Pakistan,Sharjah,U.A.E.,2,2,Pakistan
India,West Indies,Sharjah,U.A.E.,2,2,West Indies
Pakistan,West Indies,Gujranwala,Pakistan,0,1,West Indies
Pakistan,West Indies,Lahore,Pakistan,0,1,Pakistan
Pakistan,West Indies,Peshawar,Pakistan,0,1,West Indies
Pakistan,West Indies,Rawalpindi,Pakistan,0,1,Pakistan
Pakistan,West Indies,Karachi,Pakistan,0,1,West Indies
India,New Zealand,Brisbane,Australia,2,2,India
Australia,India,Brisbane,Australia,0,1,Australia
Australia,New Zealand,Sydney,Australia,0,1,Australia
Australia,India,Melbourne,Australia,0,1,India
India,New Zealand,Perth,Australia,2,2,New Zealand
Australia,New Zealand,Perth,Australia,0,1,Australia
Australia,India,Sydney,Australia,0,1,Australia
India,New Zealand,Melbourne,Australia,2,2,New Zealand
India,New Zealand,Adelaide,Australia,2,2,India
Australia,India,Adelaide,Australia,0,1,Australia
Australia,New Zealand,Adelaide,Australia,0,1,New Zealand
Australia,New Zealand,Sydney,Australia,0,1,Australia
Australia,India,Melbourne,Australia,0,1,India
India,New Zealand,Launceston,Australia,2,2,India
Australia,India,Sydney,Australia,0,1,Australia
Australia,India,Melbourne,Australia,0,1,Australia
West Indies,England,Kingston,West Indies,0,1,West Indies
Sri Lanka,Pakistan,Kandy,Sri Lanka,0,1,Pakistan
West Indies,England,Port of Spain,West Indies,0,1,England
Sri Lanka,Pakistan,Colombo,Sri Lanka,0,1,Pakistan
New Zealand,Australia,Dunedin,New Zealand,0,1,New Zealand
West Indies,England,Bridgetown,West Indies,0,1,West Indies
New Zealand,Australia,Christchurch,New Zealand,0,1,New Zealand
New Zealand,Australia,Wellington,New Zealand,0,1,Australia
New Zealand,Australia,Auckland,New Zealand,0,1,Australia
Sri Lanka,Pakistan,Colombo,Sri Lanka,0,1,Pakistan
Bangladesh,Pakistan,Moratuwa,Sri Lanka,2,2,Pakistan
West Indies,England,Port of Spain,West Indies,0,1,West Indies
Sri Lanka,Bangladesh,Kandy,Sri Lanka,0,1,Sri Lanka
Sri Lanka,New Zealand,Colombo,Sri Lanka,0,1,New Zealand
Sri Lanka,Pakistan,Colombo,Sri Lanka,0,1,Sri Lanka
New Zealand,Pakistan,Colombo,Sri Lanka,2,2,Pakistan
India,New Zealand,Sharjah,U.A.E.,2,2,India
Australia,Pakistan,Sharjah,U.A.E.,2,2,Pakistan
India,Sri Lanka,Sharjah,U.A.E.,2,2,India
New Zealand,Pakistan,Sharjah,U.A.E.,2,2,Pakistan
India,Pakistan,Sharjah,U.A.E.,2,2,Pakistan
England,India,The Oval,England,0,1,India
England,India,Manchester,England,0,1,England
England,New Zealand,Leeds,England,0,1,New Zealand
England,New Zealand,Manchester,England,0,1,England
India,Australia,Jaipur,India,0,1,India
India,Australia,Srinagar,India,0,1,Australia
India,Australia,Delhi,India,0,1,India
India,Australia,Ahmedabad,India,0,1,India
India,Australia,Rajkot,India,0,1,Australia
Pakistan,West Indies,Peshawar,Pakistan,0,1,West Indies
Pakistan,West Indies,Gujranwala,Pakistan,0,1,West Indies
Pakistan,West Indies,Sialkot,Pakistan,0,1,West Indies
Pakistan,West Indies,Multan,Pakistan,0,1,West Indies
Pakistan,West Indies,Hyderabad,India,2,2,Pakistan
India,Sri Lanka,Sharjah,U.A.E.,2,2,India
Pakistan,West Indies,Sharjah,U.A.E.,2,2,West Indies
India,West Indies,Sharjah,U.A.E.,2,2,West Indies
Pakistan,Sri Lanka,Sharjah,U.A.E.,2,2,Pakistan
Sri Lanka,West Indies,Sharjah,U.A.E.,2,2,West Indies
India,Pakistan,Sharjah,U.A.E.,2,2,Pakistan
India,Sri Lanka,Kanpur,India,0,1,Sri Lanka
Pakistan,West Indies,Perth,Australia,2,2,Pakistan
Australia,England,Perth,Australia,0,1,England
Australia,Pakistan,Perth,Australia,0,1,Pakistan
England,West Indies,Perth,Australia,2,2,England
Australia,West Indies,Perth,Australia,0,1,West Indies
England,Pakistan,Perth,Australia,2,2,England
England,Pakistan,Perth,Australia,2,2,England
India,Sri Lanka,Guwahati,India,0,1,India
India,Sri Lanka,Delhi,India,0,1,India
India,Sri Lanka,Vadodara,India,0,1,India
England,West Indies,Brisbane,Australia,2,2,England
India,Sri Lanka,Mumbai,India,0,1,India
Australia,England,Brisbane,Australia,0,1,Australia
Australia,West Indies,Melbourne,Australia,0,1,West Indies
Australia,England,Sydney,Australia,0,1,England
England,West Indies,Adelaide,Australia,2,2,England
Australia,West Indies,Adelaide,Australia,0,1,West Indies
Australia,England,Adelaide,Australia,0,1,Australia
India,Pakistan,Indore,India,0,1,Pakistan
Australia,West Indies,Sydney,Australia,0,1,Australia
England,West Indies,Melbourne,Australia,2,2,West Indies
Australia,England,Melbourne,Australia,0,1,Australia
England,West Indies,Devonport,Australia,2,2,England
Australia,West Indies,Sydney,Australia,0,1,Australia
Australia,England,Melbourne,Australia,0,1,England
Australia,England,Sydney,Australia,0,1,England
India,Pakistan,Kolkata,India,0,1,Pakistan
New Zealand,West Indies,Dunedin,New Zealand,0,1,West Indies
New Zealand,West Indies,Auckland,New Zealand,0,1,West Indies
India,Pakistan,Pune,India,0,1,Pakistan
India,Pakistan,Nagpur,India,0,1,Pakistan
India,Pakistan,Jamshedpur,India,0,1,Pakistan
New Zealand,West Indies,Christchurch,New Zealand,0,1,West Indies
England,India,Sharjah,U.A.E.,2,2,India
Australia,Pakistan,Sharjah,U.A.E.,2,2,Pakistan
Australia,India,Sharjah,U.A.E.,2,2,India
England,Pakistan,Sharjah,U.A.E.,2,2,England
Australia,England,Sharjah,U.A.E.,2,2,England
India,Pakistan,Sharjah,U.A.E.,2,2,Pakistan
England,Pakistan,The Oval,England,0,1,England
England,Pakistan,Nottingham,England,0,1,Pakistan
England,Pakistan,Birmingham,England,0,1,England
Pakistan,Sri Lanka,Hyderabad,India,2,2,Pakistan
India,Australia,Chennai,India,0,1,Australia
England,West Indies,Gujranwala,Pakistan,2,2,England
New Zealand,Zimbabwe,Hyderabad,India,2,2,New Zealand
Pakistan,England,Rawalpindi,Pakistan,0,1,Pakistan
Australia,Zimbabwe,Chennai,India,2,2,Australia
Sri Lanka,West Indies,Karachi,Pakistan,2,2,West Indies
India,New Zealand,Bengaluru,India,0,1,India
Pakistan,West Indies,Lahore,Pakistan,0,1,Pakistan
India,Zimbabwe,Mumbai,India,0,1,India
England,Sri Lanka,Peshawar,Pakistan,2,2,England
Australia,New Zealand,Indore,India,2,2,Australia
Pakistan,England,Karachi,Pakistan,0,1,Pakistan
Sri Lanka,West Indies,Kanpur,India,2,2,West Indies
India,Australia,Delhi,India,0,1,India
New Zealand,Zimbabwe,Kolkata,India,2,2,New Zealand
Pakistan,Sri Lanka,Faisalabad,Pakistan,0,1,Pakistan
England,West Indies,Jaipur,India,2,2,England
India,Zimbabwe,Ahmedabad,India,0,1,India
Australia,New Zealand,Chandigarh,India,2,2,Australia
Australia,Zimbabwe,Cuttack,India,2,2,Australia
England,Sri Lanka,Pune,India,2,2,England
Pakistan,West Indies,Karachi,Pakistan,0,1,West Indies
India,New Zealand,Nagpur,India,0,1,India
Pakistan,Australia,Lahore,Pakistan,0,1,Australia
India,England,Mumbai,India,0,1,England
Australia,England,Kolkata,India,2,2,Australia
Pakistan,England,Lahore,Pakistan,0,1,England
Pakistan,England,Karachi,Pakistan,0,1,England
Pakistan,England,Peshawar,Pakistan,0,1,England
India,West Indies,Nagpur,India,0,1,West Indies
India,West Indies,Guwahati,India,0,1,West Indies
Australia,Sri Lanka,Perth,Australia,0,1,Australia
India,West Indies,Kolkata,India,0,1,India
Australia,New Zealand,Perth,Australia,0,1,New Zealand
New Zealand,Sri Lanka,Sydney,Australia,2,2,New Zealand
India,West Indies,Rajkot,India,0,1,West Indies
Australia,New Zealand,Melbourne,Australia,0,1,Australia
India,West Indies,Ahmedabad,India,0,1,West Indies
New Zealand,Sri Lanka,Adelaide,Australia,2,2,New Zealand
Australia,Sri Lanka,Adelaide,Australia,0,1,Australia
New Zealand,Sri Lanka,Hobart,Australia,2,2,Sri Lanka
Australia,Sri Lanka,Melbourne,Australia,0,1,Australia
New Zealand,Sri Lanka,Brisbane,Australia,2,2,New Zealand
Australia,New Zealand,Brisbane,Australia,0,1,Australia
Australia,Sri Lanka,Sydney,Australia,0,1,Australia
India,West Indies,Faridabad,India,0,1,West Indies
Australia,New Zealand,Sydney,Australia,0,1,Australia
Australia,New Zealand,Melbourne,Australia,0,1,Australia
India,West Indies,Gwalior,India,0,1,West Indies
Australia,New Zealand,Sydney,Australia,0,1,Australia
India,West Indies,Thiruvananthapuram,India,0,1,West Indies
Australia,England,Melbourne,Australia,0,1,Australia
New Zealand,England,Dunedin,New Zealand,0,1,England
New Zealand,England,Christchurch,New Zealand,0,1,England
West Indies,Pakistan,Kingston,West Indies,0,1,West Indies
West Indies,Pakistan,St John's,West Indies,0,1,West Indies
New Zealand,England,Napier,New Zealand,0,1,New Zealand
West Indies,Pakistan,Port of Spain,West Indies,0,1,West Indies
New Zealand,England,Auckland,New Zealand,0,1,New Zealand
West Indies,Pakistan,Port of Spain,West Indies,0,1,West Indies
India,Sri Lanka,Sharjah,U.A.E.,2,2,India
India,New Zealand,Sharjah,U.A.E.,2,2,India
New Zealand,Sri Lanka,Sharjah,U.A.E.,2,2,New Zealand
West Indies,Pakistan,Georgetown,West Indies,0,1,West Indies
New Zealand,Sri Lanka,Sharjah,U.A.E.,2,2,New Zealand
India,New Zealand,Sharjah,U.A.E.,2,2,India
England,West Indies,Birmingham,England,0,1,England
England,West Indies,Leeds,England,0,1,England
England,West Indies,Lord's,England,0,1,England
England,Sri Lanka,The Oval,England,0,1,England
India,West Indies,Sharjah,U.A.E.,2,2,India
Pakistan,West Indies,Sharjah,U.A.E.,2,2,Pakistan
India,Pakistan,Sharjah,U.A.E.,2,2,Pakistan
India,West Indies,Sharjah,U.A.E.,2,2,West Indies
Pakistan,West Indies,Sharjah,U.A.E.,2,2,West Indies
Pakistan,Sri Lanka,Dhaka,Bangladesh,2,2,Sri Lanka
Bangladesh,India,Chittagong,Bangladesh,0,1,India
India,Sri Lanka,Dhaka,Bangladesh,2,2,Sri Lanka
Bangladesh,Pakistan,Chittagong,Bangladesh,0,1,Pakistan
India,Pakistan,Dhaka,Bangladesh,2,2,India
Bangladesh,Sri Lanka,Dhaka,Bangladesh,0,1,Sri Lanka
India,Sri Lanka,Dhaka,Bangladesh,2,2,India
Pakistan,West Indies,Adelaide,Australia,2,2,West Indies
