timestamps,TP9,AF7,AF8,TP10,Right AUX
1560169074.562,24.414,31.250,22.949,23.926,6.348
1560169074.566,20.996,28.809,26.367,16.602,1.465
1560169074.570,4.883,31.738,26.855,-1.465,-4.395
1560169074.573,7.324,32.715,24.902,0.000,22.461
1560169074.577,10.254,32.715,25.879,4.395,42.480
1560169074.581,22.949,31.250,24.902,21.484,0.000
1560169074.585,26.367,30.273,25.879,21.484,-25.879
1560169074.589,10.254,29.785,27.832,1.953,-3.906
1560169074.593,1.953,29.297,26.367,-6.836,28.809
1560169074.597,3.418,31.738,25.879,-5.859,41.016
1560169074.601,23.438,33.691,28.320,20.508,65.430
1560169074.605,25.391,31.250,30.762,18.555,44.434
1560169074.609,4.883,30.762,32.715,-12.207,-12.207
1560169074.612,-4.395,31.250,31.738,-18.066,4.395
1560169074.616,-9.766,30.273,30.273,-16.602,35.156
1560169074.620,9.277,31.738,30.273,4.395,35.645
1560169074.624,16.113,30.273,29.785,8.301,31.738
1560169074.628,-20.020,26.367,29.785,-21.484,39.062
1560169074.632,-36.621,23.926,30.273,-29.297,77.637
1560169074.636,-27.344,21.973,30.762,-24.902,72.266
1560169074.640,-5.371,22.949,30.273,-4.883,81.543
1560169074.644,9.277,26.367,28.320,13.184,104.980
1560169074.648,-2.930,25.391,24.902,-1.953,72.266
1560169074.652,-11.230,22.949,23.926,-15.625,65.430
1560169074.655,-13.184,21.973,27.832,-20.020,46.387
1560169074.659,1.465,22.949,27.832,1.465,36.621
1560169074.663,17.578,25.879,28.809,23.926,62.500
1560169074.667,6.836,26.855,29.297,4.395,46.387
1560169074.671,-1.465,25.391,26.367,-7.324,8.789
1560169074.675,-1.465,25.879,25.879,-7.324,14.648
1560169074.679,7.812,26.855,25.879,6.348,37.598
1560169074.683,19.043,26.367,22.949,20.508,1.953
1560169074.687,5.859,30.273,21.973,0.000,-52.734
1560169074.691,0.488,33.691,21.484,-6.348,-13.184
1560169074.695,2.441,34.180,20.508,-4.395,17.578
1560169074.698,6.348,34.180,18.066,-1.953,6.348
1560169074.702,22.461,31.250,21.484,20.996,49.805
1560169074.706,12.207,29.297,27.344,11.230,69.336
1560169074.710,2.441,26.367,27.832,-5.371,36.621
1560169074.714,1.953,25.879,25.391,-5.371,22.949
1560169074.718,7.812,30.273,29.785,1.953,20.508
1560169074.722,34.180,31.250,28.320,24.414,14.648
1560169074.726,30.762,29.297,21.484,12.695,23.438
1560169074.730,19.531,32.227,23.926,-4.883,9.277
1560169074.734,25.391,35.156,26.855,-4.395,-17.578
1560169074.737,20.020,33.203,26.367,0.000,58.594
1560169074.741,32.227,32.715,27.344,26.367,63.965
1560169074.745,31.738,34.668,28.809,22.461,15.625
1560169074.749,12.207,34.180,26.855,3.418,15.137
1560169074.753,3.906,30.273,25.879,4.395,9.766
1560169074.757,5.371,31.738,27.832,3.418,22.949
1560169074.761,22.461,32.715,27.344,21.973,47.363
1560169074.765,28.320,34.668,25.391,25.879,80.078
1560169074.769,11.230,37.109,25.391,-2.441,48.828
1560169074.773,2.930,35.645,26.367,-9.277,30.273
1560169074.777,-0.977,34.180,24.902,-2.930,12.207
1560169074.780,12.207,34.668,23.438,16.602,22.461
1560169074.784,25.391,36.133,29.785,28.809,77.148
1560169074.788,11.230,36.621,32.227,14.160,38.086
1560169074.792,5.371,35.156,31.250,7.812,40.039
1560169074.796,6.348,31.738,32.715,7.324,61.523
1560169074.800,24.414,29.785,28.320,24.902,-14.160
1560169074.804,33.691,31.250,27.344,33.203,-11.719
1560169074.808,11.719,31.250,28.320,12.695,49.805
1560169074.812,6.348,31.738,27.832,9.277,80.566
1560169074.816,7.324,32.227,27.344,7.812,33.203
1560169074.820,18.555,30.273,23.926,21.484,-21.973
1560169074.823,31.738,32.227,22.461,37.598,19.531
1560169074.827,18.555,33.691,24.414,20.020,42.480
1560169074.831,11.719,31.738,21.973,7.812,74.219
1560169074.835,3.418,30.273,21.484,1.953,93.262
1560169074.839,6.836,30.273,22.949,12.695,68.359
1560169074.843,25.879,28.320,20.996,32.227,45.410
1560169074.847,19.043,27.832,20.996,14.160,17.090
1560169074.851,7.812,28.320,23.926,1.465,89.355
1560169074.855,-0.977,24.902,23.438,-0.977,79.590
1560169074.859,7.812,29.785,22.949,11.719,44.922
1560169074.862,40.039,35.156,25.391,40.039,91.797
1560169074.866,32.715,36.133,22.949,28.809,54.199
1560169074.870,19.043,40.039,21.973,12.207,59.570
1560169074.874,17.578,41.504,25.391,10.742,58.105
1560169074.878,18.555,38.574,24.414,15.137,21.484
1560169074.882,38.574,38.574,22.461,27.832,64.453
1560169074.886,32.227,38.574,23.926,19.043,53.223
