timestamps,TP9,AF7,AF8,TP10,Right AUX
1560179499.925,-1.465,30.762,20.508,5.859,7.324
1560179499.929,0.000,34.668,24.414,4.395,35.645
1560179499.933,2.441,35.156,24.902,10.742,24.902
1560179499.937,4.883,34.668,24.902,8.301,-25.879
1560179499.941,6.348,37.598,27.344,11.230,25.879
1560179499.945,8.301,41.504,33.203,11.719,41.016
1560179499.949,-0.488,39.551,35.156,9.766,0.977
1560179499.953,1.953,34.180,39.551,19.043,19.043
1560179499.956,7.812,35.645,44.922,16.113,18.555
1560179499.960,7.324,36.133,49.316,21.484,9.277
1560179499.964,7.324,34.668,48.828,20.508,47.852
1560179499.968,9.766,37.109,45.898,13.184,30.762
1560179499.972,13.672,37.598,42.969,22.461,-31.738
1560179499.976,17.090,35.156,39.551,21.973,12.207
1560179499.980,14.160,31.738,39.062,10.742,71.289
1560179499.984,6.836,29.297,41.016,5.859,36.621
1560179499.988,7.812,33.203,45.410,7.812,52.246
1560179499.992,9.277,36.133,49.805,11.230,83.984
1560179499.996,4.395,33.691,49.316,9.277,28.809
1560179499.999,4.883,34.180,52.246,3.906,8.301
1560179500.003,-0.488,35.156,52.246,7.324,17.578
1560179500.007,-7.812,33.691,48.340,6.836,63.965
1560179500.011,-2.441,32.227,45.410,4.883,69.336
1560179500.015,6.836,35.645,45.410,8.301,36.621
1560179500.019,5.859,36.621,41.504,10.254,8.789
1560179500.023,-0.977,32.715,32.227,13.184,11.719
1560179500.027,1.465,32.227,28.809,10.254,27.344
1560179500.031,-5.859,35.156,30.273,10.742,44.434
1560179500.035,-10.742,34.180,34.180,10.254,37.598
1560179500.038,1.953,32.227,36.133,13.672,13.184
1560179500.042,-4.395,33.691,35.156,10.254,-19.531
1560179500.046,-7.812,33.691,44.922,4.883,1.465
1560179500.050,-3.418,35.156,51.758,7.812,69.336
1560179500.054,-0.977,38.574,50.781,9.766,35.645
1560179500.058,1.953,37.598,51.758,13.672,8.789
1560179500.062,0.000,33.691,51.758,12.207,11.230
1560179500.066,-1.953,36.133,50.781,7.324,8.301
1560179500.070,-0.977,39.062,50.293,11.230,46.875
1560179500.074,-0.977,35.156,52.734,13.672,48.340
1560179500.078,0.000,35.156,54.199,9.766,3.418
1560179500.081,7.324,40.039,49.805,13.184,0.000
1560179500.085,6.836,40.039,45.410,19.043,-4.395
1560179500.089,2.441,38.574,41.016,23.926,-35.645
1560179500.093,13.672,41.504,39.062,24.902,27.832
1560179500.097,14.648,41.016,38.574,18.555,73.730
1560179500.101,4.883,41.992,41.992,25.391,84.473
1560179500.105,0.977,44.434,45.410,24.414,89.844
1560179500.109,-0.488,42.969,42.969,15.625,69.824
1560179500.113,10.254,43.457,41.504,20.020,42.969
1560179500.117,17.090,46.875,38.574,24.902,28.320
1560179500.121,10.254,47.363,36.621,20.020,33.691
1560179500.124,7.812,49.316,36.621,14.648,-2.441
1560179500.128,17.090,51.270,36.133,17.090,10.742
1560179500.132,16.113,46.875,32.715,17.090,39.062
1560179500.136,9.277,44.434,28.809,18.066,11.719
1560179500.140,14.648,49.316,26.367,22.949,52.734
1560179500.144,9.277,47.852,18.555,21.973,98.633
1560179500.148,7.324,45.410,12.695,22.949,69.824
1560179500.152,10.254,44.922,12.207,24.902,36.621
1560179500.156,11.230,43.945,13.184,26.367,21.484
1560179500.160,10.254,47.363,10.742,23.438,-17.090
1560179500.163,1.465,45.898,9.277,14.648,-7.812
1560179500.167,3.418,40.039,10.742,16.113,48.828
1560179500.171,9.277,42.480,22.949,23.438,27.832
1560179500.175,11.719,42.969,34.180,25.879,20.508
1560179500.179,6.348,41.992,37.598,27.344,57.129
1560179500.183,-3.418,40.527,39.551,24.414,28.809
1560179500.187,3.418,38.574,34.668,22.461,34.668
1560179500.191,6.836,39.062,32.227,23.926,41.016
1560179500.195,4.395,40.527,32.715,20.020,26.855
1560179500.199,11.719,41.016,29.785,21.484,22.461
1560179500.203,13.672,40.527,27.344,23.926,8.301
1560179500.206,7.324,40.039,26.367,20.020,53.711
1560179500.210,6.348,40.039,22.461,19.531,65.430
1560179500.214,4.883,42.480,19.043,18.555,10.742
1560179500.218,5.371,41.504,19.043,17.578,-19.531
1560179500.222,3.906,40.039,15.137,18.066,34.180
1560179500.226,-4.395,38.574,15.625,14.648,37.598
1560179500.230,-4.883,34.668,18.066,14.648,9.766
1560179500.234,0.977,32.715,16.113,12.695,29.297
1560179500.238,5.859,35.645,24.902,14.648,41.992
1560179500.242,1.465,40.039,35.156,15.625,20.508
1560179500.245,-1.953,38.086,32.227,9.766,99.609
1560179500.249,-1.953,35.645,29.785,11.719,138.184
1560179500.253,2.441,36.133,32.715,15.137,24.414
1560179500.257,3.906,36.133,36.133,17.578,-4.883
1560179500.261,0.488,39.551,37.598,14.648,56.152
1560179500.265,4.883,41.992,32.227,18.066,64.941
1560179500.269,9.277,39.062,30.273,24.902,41.504
1560179500.273,13.184,38.574,35.156,20.996,13.184
1560179500.277,16.602,40.527,34.180,25.879,-18.555
