timestamps,TP9,AF7,AF8,TP10,Right AUX
1560169123.461,-6.836,27.832,14.648,-2.441,-5.859
1560169123.465,10.254,26.367,13.184,5.859,28.320
1560169123.469,39.551,26.367,13.184,48.828,36.621
1560169123.473,19.043,24.414,12.695,30.762,-42.480
1560169123.477,-4.395,22.949,12.207,-3.906,1.953
1560169123.481,-2.441,23.438,14.648,-1.953,24.902
1560169123.485,16.602,23.438,13.672,14.160,-35.645
1560169123.489,53.223,27.832,15.137,51.758,46.387
1560169123.493,41.504,30.273,16.602,40.039,65.918
1560169123.496,13.184,30.273,15.137,10.254,20.508
1560169123.500,13.672,33.203,16.602,10.254,55.176
1560169123.504,27.832,32.227,17.090,21.484,92.773
1560169123.508,62.500,32.715,16.113,50.293,36.621
1560169123.512,47.852,33.203,14.648,39.551,-33.691
1560169123.516,14.648,34.180,13.184,9.277,16.113
1560169123.520,13.184,37.109,12.695,1.953,44.922
1560169123.524,22.949,38.086,11.230,13.184,-3.906
1560169123.528,58.594,35.156,11.230,50.781,9.766
1560169123.532,46.387,32.715,12.207,41.504,3.906
1560169123.536,8.789,33.203,13.672,12.207,39.551
1560169123.539,8.301,34.180,12.695,5.371,52.246
1560169123.543,13.672,35.645,10.254,-1.465,25.879
1560169123.547,44.434,37.598,12.207,40.039,81.543
1560169123.551,47.852,36.621,15.625,52.734,50.781
1560169123.555,11.230,34.180,15.137,17.090,21.484
1560169123.559,3.906,35.645,15.137,2.441,54.199
1560169123.563,10.254,35.156,17.090,-7.812,34.180
1560169123.567,42.480,34.668,15.625,24.414,-25.879
1560169123.571,52.246,35.645,12.695,42.969,-22.949
1560169123.575,15.625,35.645,11.719,-2.441,6.348
1560169123.578,8.301,35.645,10.254,-8.301,10.254
1560169123.582,14.160,34.180,11.230,-9.277,12.695
1560169123.586,40.527,33.691,9.766,18.555,21.973
1560169123.590,66.895,37.109,11.719,49.316,24.414
1560169123.594,33.203,38.574,16.602,7.812,104.980
1560169123.598,5.859,35.156,14.160,-13.184,55.664
1560169123.602,1.953,32.715,12.695,-13.184,-28.320
1560169123.606,22.949,31.250,14.648,14.160,52.246
1560169123.610,42.480,30.273,14.160,44.434,40.039
1560169123.614,8.789,28.320,13.184,12.695,39.062
1560169123.618,-9.277,28.320,15.625,-2.441,33.691
1560169123.621,-12.695,30.762,15.625,0.488,37.598
1560169123.625,-2.441,26.855,17.578,17.578,46.875
1560169123.629,29.785,26.367,20.508,48.340,10.742
1560169123.633,2.930,27.832,19.043,18.066,78.125
1560169123.637,-20.996,26.855,17.090,-14.160,44.922
1560169123.641,-15.625,27.344,15.625,-10.742,0.488
1560169123.645,-3.906,28.320,14.648,3.906,80.566
1560169123.649,31.738,29.297,16.602,39.551,92.285
1560169123.653,15.625,28.809,16.113,24.902,74.707
1560169123.657,-15.137,24.902,16.113,-11.719,-2.930
1560169123.661,-10.254,22.461,20.020,-12.207,-78.125
1560169123.664,4.395,22.461,22.949,11.230,4.395
1560169123.668,39.062,22.461,23.438,43.945,67.383
1560169123.672,28.320,22.949,20.508,25.391,81.055
1560169123.676,-1.465,23.926,16.113,-1.953,102.539
1560169123.680,-1.953,25.879,20.020,-1.953,15.625
1560169123.684,16.113,27.344,21.484,10.742,-2.441
1560169123.688,54.199,25.879,19.043,48.828,38.086
1560169123.692,43.945,24.902,20.020,37.109,82.031
1560169123.696,6.348,21.484,19.531,0.000,82.031
1560169123.700,1.953,20.996,22.461,-2.930,31.250
1560169123.703,13.184,23.926,23.438,7.324,23.438
1560169123.707,39.551,22.949,21.973,40.039,65.918
1560169123.711,37.598,20.508,26.367,38.086,86.426
1560169123.715,4.883,17.578,25.391,0.977,29.297
1560169123.719,-7.324,18.555,21.484,-0.488,-13.184
1560169123.723,-1.953,19.531,19.043,4.395,-50.293
1560169123.727,28.320,19.531,20.996,31.738,3.906
1560169123.731,37.598,23.438,23.926,41.992,30.762
1560169123.735,5.371,20.996,21.484,6.348,15.625
1560169123.739,-4.883,16.602,17.090,-3.906,29.785
1560169123.743,1.953,15.625,15.625,-1.953,-43.457
1560169123.746,33.203,14.648,16.602,26.367,-6.348
1560169123.750,53.223,18.066,17.090,47.363,42.480
1560169123.754,28.320,19.043,15.625,14.648,32.227
1560169123.758,10.742,19.531,13.184,-2.441,63.477
1560169123.762,13.184,21.484,12.207,-9.766,5.371
1560169123.766,40.039,20.508,10.742,10.742,5.371
1560169123.770,54.199,21.973,11.719,38.574,48.828
1560169123.774,25.879,26.367,13.184,7.324,25.391
1560169123.778,5.371,26.855,14.648,-8.789,26.367
1560169123.782,-2.930,29.297,20.020,-9.277,34.668
1560169123.786,13.672,29.785,22.461,16.602,64.941
1560169123.789,35.156,28.320,19.531,44.434,77.148
1560169123.793,8.301,27.344,18.555,13.184,44.434
1560169123.797,-17.090,27.832,20.020,-6.348,40.527
1560169123.801,-17.090,28.809,21.484,-4.395,8.301
1560169123.805,10.254,27.832,21.484,17.578,20.996
1560169123.809,39.551,27.344,22.461,45.898,33.691
1560169123.813,14.648,28.320,25.391,26.855,31.738
1560169123.817,-3.906,25.879,24.902,3.418,16.602
1560169123.821,-2.441,25.391,21.973,-5.859,44.434
1560169123.825,17.090,25.879,20.508,18.066,46.387
1560169123.828,55.664,28.809,20.996,53.223,28.320
1560169123.832,37.598,30.762,22.949,29.297,23.438
1560169123.836,9.766,30.762,21.484,2.930,47.363
1560169123.840,1.953,30.762,20.020,-2.441,72.266
1560169123.844,5.371,28.320,18.555,5.371,41.504
1560169123.848,44.434,25.879,17.090,45.410,36.133
1560169123.852,30.762,22.949,19.531,38.086,12.695
1560169123.856,-6.836,18.066,18.555,1.953,24.902
1560169123.860,-11.230,17.578,18.555,-3.906,-0.977
1560169123.864,-1.465,20.508,18.555,14.160,-10.254
1560169123.868,42.480,20.996,15.625,48.828,29.785
1560169123.871,33.203,23.438,15.625,42.480,-0.488
1560169123.875,-3.418,26.855,15.625,12.695,47.852
1560169123.879,-6.836,27.832,13.672,7.812,92.285
1560169123.883,-1.465,30.762,13.184,7.812,59.082
1560169123.887,38.574,30.273,13.184,39.551,54.688
1560169123.891,41.992,29.785,10.742,42.480,56.152
1560169123.895,7.324,31.250,12.695,7.324,42.969
1560169123.899,-1.953,31.250,16.113,-4.395,77.148
1560169123.903,3.906,30.273,15.137,-0.977,52.246
1560169123.907,49.805,32.715,11.719,38.574,13.184
1560169123.910,62.988,33.203,12.207,49.316,44.922
1560169123.914,23.438,33.203,12.695,11.719,77.637
1560169123.918,9.277,34.668,9.766,-4.395,89.844
1560169123.922,15.625,31.738,10.254,-0.488,30.762
1560169123.926,41.504,27.344,15.137,28.320,36.621
1560169123.930,45.898,21.973,17.578,37.109,36.133
1560169123.934,12.207,20.508,18.555,7.812,21.484
1560169123.938,-7.324,20.020,22.461,-2.441,-20.996
1560169123.942,-24.414,13.672,21.484,-8.301,-24.902
1560169123.946,-11.230,8.789,19.043,13.672,28.809
1560169123.950,9.766,11.230,20.508,43.457,19.531
1560169123.953,-25.391,13.672,19.531,13.184,65.430
1560169123.957,-47.363,12.207,18.066,-12.695,31.250
1560169123.961,-48.828,15.137,18.066,-12.695,37.598
1560169123.965,-18.555,19.531,17.578,15.137,76.172
1560169123.969,19.531,22.949,14.648,48.340,4.883
1560169123.973,2.441,24.414,14.160,15.137,44.922
1560169123.977,-8.301,24.902,14.648,-11.230,56.152
1560169123.981,-2.930,31.250,15.625,0.488,-4.395
1560169123.985,24.902,36.133,17.578,21.973,29.785
1560169123.989,67.871,39.551,18.066,50.781,91.309
1560169123.993,49.805,42.969,18.066,28.320,69.824
1560169123.996,24.414,41.992,16.602,1.465,0.488
1560169124.000,18.066,38.574,14.160,-4.883,-84.961
1560169124.004,26.367,39.551,13.184,3.906,-59.082
1560169124.008,58.105,39.062,14.160,34.180,-15.137
1560169124.012,30.762,34.180,12.207,14.648,-38.086
1560169124.016,-4.883,27.344,14.648,-14.648,-15.625
1560169124.020,-17.090,21.973,16.602,-25.879,22.949
1560169124.024,-13.672,18.555,16.602,-17.090,40.039
1560169124.028,17.578,18.555,23.438,27.344,81.055
1560169124.032,-3.418,20.020,28.320,12.207,74.219
1560169124.035,-41.016,18.555,27.344,-31.250,2.441
1560169124.039,-48.340,18.066,25.391,-32.227,29.785
1560169124.043,-41.016,21.973,22.949,-20.508,59.570
1560169124.047,-6.348,24.414,20.996,11.230,58.105
1560169124.051,-7.812,25.879,24.414,6.836,60.547
1560169124.055,-47.363,28.809,23.438,-27.344,6.836
1560169124.059,-60.059,28.320,20.508,-40.039,0.000
1560169124.063,-54.688,26.855,19.043,-41.504,44.434
1560169124.067,-19.043,29.297,17.578,-6.836,79.102
1560169124.071,-6.348,28.809,19.531,0.977,15.625
1560169124.075,-39.062,24.902,22.461,-32.227,-8.789
1560169124.078,-53.711,25.391,23.438,-43.945,51.270
1560169124.082,-52.734,24.414,21.973,-51.758,73.242
1560169124.086,-15.137,22.461,20.020,-23.438,98.145
1560169124.090,1.953,22.461,20.508,-11.719,45.898
